Reaction id	Reaction name	stoichiometry	Genes
rxn05392_c0	7_methyl_octanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating_c0	cpd11492_c0 + cpd11528_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11529_c0	6666666.308629.peg.2141;6666666.308629.peg.2137;
rxn04070_c0	pyridoxine_5_phosphate_synthase_c0	cpd08289_c0 + cpd08449_c0 --> 2.0 cpd00001_c0 + cpd00009_c0 + cpd00067_c0 + cpd00478_c0	6666666.308629.peg.598;
rxn00199_c0	oxalosuccinate_carboxy_lyase_2_oxoglutarate_forming_c0	cpd00067_c0 + cpd03187_c0 --> cpd00011_c0 + cpd00024_c0	6666666.308629.peg.4107;
rxn10231_c0	isohexadecanoyl_CDPdiacylglycerol_serine_O_phosphatidyltransferase_c0	cpd00054_c0 + cpd15688_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15694_c0	
rxn12637_c0	RXN0_6987c_c0	cpd00001_c0 + cpd11589_c0 <=> cpd00033_c0 + cpd00041_c0	6666666.308629.peg.4145;6666666.308629.peg.3137;6666666.308629.peg.703;
rxn03046_c0	ATP_guanidinoethyyl_methyl_phosphate_phosphotransferase_c0	cpd00002_c0 + cpd02519_c0 <=> cpd00008_c0 + cpd00067_c0 + cpd02744_c0	6666666.308629.peg.2987;6666666.308629.peg.1712;
rxn09240_c0	Sulfate_adenyltransferase_c0	cpd00001_c0 + cpd00002_c0 + cpd00038_c0 + cpd00048_c0 --> cpd00009_c0 + cpd00012_c0 + cpd00031_c0 + cpd00067_c0 + cpd00193_c0	6666666.308629.peg.3024;
rxn01219_c0	ATP_dCMP_phosphotransferase_c0	cpd00002_c0 + cpd00067_c0 + cpd00206_c0 <=> cpd00008_c0 + cpd00533_c0	6666666.308629.peg.2639;
rxn00519_c0	ITP_oxaloacetate_carboxy_lyase_adding_ITP_phosphoenolpyruvate_forming_c0	cpd00032_c0 + cpd00068_c0 <=> cpd00011_c0 + cpd00061_c0 + cpd00090_c0	6666666.308629.peg.138;
rxn00258_c0	Malonyl_CoA_pyruvate_carboxytransferase_c0	cpd00020_c0 + cpd00070_c0 <-- cpd00022_c0 + cpd00032_c0	6666666.308629.peg.4157;
rxn00800_c0	N6_1_2_dicarboxyethylAMP_AMP_lyase_fumarate_forming_c0	cpd02375_c0 <=> cpd00018_c0 + cpd00106_c0	
rxn09177_c0	R_4_Phosphopantothenate_L_cysteine_ligase_c0	cpd00052_c0 + cpd00084_c0 + cpd02201_c0 --> cpd00012_c0 + cpd00046_c0 + 2.0 cpd00067_c0 + cpd02666_c0	6666666.308629.peg.138;
rxn00179_c0	ATP_L_glutamate_5_phosphotransferase_c0	cpd00002_c0 + cpd00023_c0 <=> cpd00008_c0 + cpd02097_c0	
rxn02945_c0	prephytoene_diphosphate_geranylgeranyl_diphosphate_geranylgeranyltransferase_c0	cpd02168_c0 --> cpd00012_c0 + cpd00067_c0 + cpd03211_c0	6666666.308629.peg.3293;
rxn00730_c0	Malonyl_CoA_anthranilate_N_malonyltransferase_c0	cpd00070_c0 + cpd00093_c0 <=> cpd00010_c0 + cpd02014_c0	
rxn01218_c0	2_Deoxycytidine_5_monophosphate_phosphohydrolase_c0	cpd00001_c0 + cpd00206_c0 --> cpd00009_c0 + cpd00654_c0	
rxn05367_c0	6_methyl_octanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating_c0	cpd11492_c0 + cpd11503_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11504_c0	6666666.308629.peg.2141;6666666.308629.peg.2137;
rxn03360_c0	5_Hydroxykynurenamine_decarboxy_lyase_c0	cpd00011_c0 + cpd03349_c0 <=> cpd00067_c0 + cpd03362_c0	
rxn02898_c0	O_Succinylbenzoyl_CoA_1_4_dihydroxy_2_naphthoate_lyase_c0	cpd02021_c0 --> cpd00010_c0 + cpd02295_c0	
rxn00545_c0	ATP_D_fructose_6_phosphate_1_phosphotransferase_c0	cpd00002_c0 + cpd00072_c0 --> cpd00008_c0 + cpd00067_c0 + cpd00290_c0	
rxn00501_c0	3_Oxopropanoate_NAD_plus__oxidoreductase_decarboxylating__CoA_acetylating_c0	cpd00003_c0 + cpd00010_c0 + cpd00191_c0 <=> cpd00004_c0 + cpd00011_c0 + cpd00022_c0	
rxn10344_c0	Lead_Pb_plus_2_ABC_transporter_c0	cpd00001_c0 + cpd00002_c0 + cpd04097_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd04097_e0	6666666.308629.peg.4219;6666666.308629.peg.1734;6666666.308629.peg.2403;6666666.308629.peg.183;6666666.308629.peg.329;
rxn01547_c0	Guanosine_aminohydrolase_c0	cpd00001_c0 + cpd00067_c0 + cpd00311_c0 <=> cpd00013_c0 + cpd01217_c0	6666666.308629.peg.85;6666666.308629.peg.869;
rxn02320_c0	5_Amino_2_oxopentanoate_2_oxoglutarate_aminotransferase_c0	cpd00024_c0 + cpd00807_c0 <=> cpd00023_c0 + cpd00930_c0	
rxn03384_c0	Uroporphyrinogen_I_carboxy_lyase_c0	4.0 cpd00067_c0 + cpd03414_c0 <=> 4.0 cpd00011_c0 + cpd03416_c0	6666666.308629.peg.3439;
rxn04996_c0	dimethyallyl_diphosphate_NADP_plus__oxidoreductase_c0	cpd00005_c0 + cpd00067_c0 + cpd08615_c0 --> cpd00001_c0 + cpd00006_c0 + cpd00202_c0	
rxn00262_c0	L_Aspartic_acid_oxygen_oxidoreductase_deaminating_c0	cpd00001_c0 + cpd00007_c0 + cpd00041_c0 --> cpd00013_c0 + cpd00025_c0 + cpd00032_c0	6666666.308629.peg.609;
rxn05404_c0	13_methyl_tetra_decanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating_c0	cpd11492_c0 + cpd11540_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11541_c0	6666666.308629.peg.2141;6666666.308629.peg.2137;
rxn02796_c0	chenodeoxycholoyltaurine_amidohydrolase_c0	cpd00001_c0 + cpd03246_c0 <=> cpd00210_c0 + cpd01663_c0	6666666.308629.peg.1650;
rxn10262_c0	isopentadecanoyl_CDPdiacylglycerol_sn_glycerol_3_phosphate_3_phosphatidyltransferase_c0	cpd00080_c0 + cpd15686_c0 <=> cpd00046_c0 + cpd15719_c0	6666666.308629.peg.3462;6666666.308629.peg.2934;6666666.308629.peg.3706;
rxn10126_c0	succinate_dehyrdogenase_c0	cpd00982_c0 + cpd15560_c0 --> cpd00015_c0 + cpd00067_c0 + cpd15561_c0	6666666.308629.peg.2833;6666666.308629.peg.2832;
rxn04048_c0	cobalt_precorrin_4_methyltransferase_c0	cpd00017_c0 + cpd08370_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd08371_c0	
rxn10225_c0	isohexadecanoyl_phosphatidate_cytidylyltransferase_c0	cpd00052_c0 + cpd15682_c0 <=> cpd00012_c0 + cpd00067_c0 + cpd15688_c0	
rxn01486_c0	trans_trans_Farnesyl_diphosphate_isopentenyl_diphosphate_farnesyltranstransferase_c0	cpd00113_c0 + cpd00350_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00289_c0	6666666.308629.peg.3293;
rxn00898_c0	2_3_Dihydroxy_3_methylbutanoate_hydro_lyase_c0	cpd02498_c0 --> cpd00001_c0 + cpd00123_c0	6666666.308629.peg.1895;
rxn05444_c0	15_methyl_trans_hexa_dec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific_c0	cpd00004_c0 + cpd00067_c0 + cpd11543_c0 --> cpd00003_c0 + cpd11544_c0	6666666.308629.peg.3236;
rxn10205_c0	isoheptadecanoyl_glycerol_3_phosphate_O_acyltransferase_c0	cpd00080_c0 + cpd11432_c0 --> cpd00010_c0 + cpd15671_c0	
rxn05040_c0	D_ribulose_5_phosphate_formate_lyase_L_3_4_dihydroxybutan_2_one_4_phosphate_forming_c0	cpd00171_c0 --> cpd00047_c0 + cpd00067_c0 + cpd11225_c0	6666666.308629.peg.1970;6666666.308629.peg.2023;6666666.308629.peg.3812;6666666.308629.peg.3082;6666666.308629.peg.4022;6666666.308629.peg.4130;6666666.308629.peg.1805;6666666.308629.peg.3235;6666666.308629.peg.235;6666666.308629.peg.2689;6666666.308629.peg.3689;6666666.308629.peg.764;6666666.308629.peg.3124;6666666.308629.peg.658;6666666.308629.peg.1838;6666666.308629.peg.1448;6666666.308629.peg.1842;6666666.308629.peg.3480;6666666.308629.peg.2598;6666666.308629.peg.3403;6666666.308629.peg.3683;6666666.308629.peg.3121;6666666.308629.peg.2936;6666666.308629.peg.3802;6666666.308629.peg.3172;6666666.308629.peg.226;
rxn05400_c0	11_methyl_dodecanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating_c0	cpd11492_c0 + cpd11536_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11537_c0	6666666.308629.peg.2141;6666666.308629.peg.2137;
rxn02090_c0	Creatinine_iminohydrolase_c0	cpd00001_c0 + cpd00067_c0 + cpd00585_c0 <=> cpd00013_c0 + cpd01679_c0	
rxn01750_c0	CDPglucose_4_6_hydro_lyase_c0	cpd00390_c0 --> cpd00001_c0 + cpd00897_c0	
rxn02988_c0	glycerone_phosphate_iminosuccinate_alkyltransferase_cyclizing_c0	cpd00095_c0 + cpd03470_c0 --> 2.0 cpd00001_c0 + cpd00009_c0 + cpd02333_c0	6666666.308629.peg.2357;
rxn10228_c0	isotetradecanoyl_CDPdiacylglycerol_serine_O_phosphatidyltransferase_c0	cpd00054_c0 + cpd15685_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15691_c0	6666666.308629.peg.248;6666666.308629.peg.3530;
rxn05814_c0	ATP_nucleoside_phosphate_phosphotransferase_c0	cpd00002_c0 + cpd12232_c0 <=> cpd00008_c0 + cpd00354_c0	6666666.308629.peg.398;
rxn00539_c0	ethanolamine_ammonia_lyase_acetaldehyde_forming_c0	cpd00162_c0 --> cpd00013_c0 + cpd00071_c0	
rxn00678_c0	S_2_Methyl_3_oxopropanoyl_CoA_pyruvate_carboxyltransferase_c0	cpd00020_c0 + cpd00519_c0 <=> cpd00032_c0 + cpd00086_c0	6666666.308629.peg.4157;
rxn00001_c0	diphosphate_phosphohydrolase_c0	cpd00001_c0 + cpd00012_c0 --> 2.0 cpd00009_c0 + cpd00067_c0	6666666.308629.peg.1147;6666666.308629.peg.245;
rxn00671_c0	2_Methyl_3_oxopropanoate_NAD_plus__oxidoreductase_CoA_propanoylating_c0	cpd00003_c0 + cpd00010_c0 + cpd00287_c0 <=> cpd00004_c0 + cpd00011_c0 + cpd00086_c0	
rxn11268_c0	phosphate_ABC_transporter_permease_protein_c0	cpd00012_c0 + cpd00067_c0 --> cpd00012_e0 + cpd00067_e0	6666666.308629.peg.683;
rxn00710_c0	orotidine_5_phosphate_carboxy_lyase_UMP_forming_c0	cpd00067_c0 + cpd00810_c0 --> cpd00011_c0 + cpd00091_c0	6666666.308629.peg.593;
rxn08817_c0	Lysophospholipase_L2_2_acylglycerophosphotidate__n_C12_0_c0	cpd00001_c0 + cpd15350_c0 <=> 2.0 cpd00067_c0 + cpd00080_c0 + cpd01741_c0	
rxn00910_c0	5_methyltetrahydrofolate_NADP_plus__oxidoreductase_c0	cpd00006_c0 + cpd00345_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00125_c0	6666666.308629.peg.104;
rxn01297_c0	hypoxanthine_NAD_plus__oxidoreductase_c0	cpd00001_c0 + cpd00003_c0 + cpd00226_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00309_c0	
rxn05459_c0	stearyl_ACP_acyl_carrier_protein_transferase_c0	cpd00010_c0 + cpd00067_c0 + cpd11573_c0 <=> cpd00327_c0 + cpd11493_c0	6666666.308629.peg.1689;6666666.308629.peg.2140;6666666.308629.peg.1605;
rxn05453_c0	13_methyl_tetra_decanoyl_ACP_acyl_carrier_protein_transferase_c0	cpd00010_c0 + 2.0 cpd00067_c0 + cpd11540_c0 <=> cpd11437_c0 + cpd11493_c0	6666666.308629.peg.1689;6666666.308629.peg.2140;6666666.308629.peg.1605;
rxn01682_c0	1S_2R_1_C_indol_3_ylglycerol_3_phosphate_D_glyceraldehyde_3_phosphate_lyase_c0	cpd02210_c0 <=> cpd00102_c0 + cpd00359_c0	6666666.308629.peg.1564;6666666.308629.peg.3700;6666666.308629.peg.1565;
rxn03142_c0	cis_2_Chloro_4_carboxymethylenebut_2_en_1_4_olide_cis_trans_isomerase_c0	cpd02864_c0 <=> cpd02880_c0	
rxn03181_c0	ATP_2_3_2_3_tetrakis3_hydroxytetradecanoyl_D_glucosaminyl_beta_D_1_6_glucosaminyl_alpha_phosphate_4_O_phosphotransferase_c0	cpd00002_c0 + cpd03002_c0 <=> cpd00008_c0 + cpd00067_c0 + cpd02993_c0	6666666.308629.peg.1640;
rxn02331_c0	phosphoenolpyruvate_D_arabinose_5_phosphate_C_1_carboxyvinyltransferase_phosphate_hydrolysing__2_carboxy_2_oxoethyl_forming_c0	cpd00001_c0 + cpd00061_c0 + cpd00817_c0 --> cpd00009_c0 + cpd02730_c0	6666666.308629.peg.1540;
rxn06493_c0	dihydrolipoylprotein_NAD_plus__oxidoreductase_c0	cpd00003_c0 + cpd12225_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd12005_c0	6666666.308629.peg.2517;
rxn10214_c0	isoheptadecanoyl_1_acylglycerol_3_phosphate_O_acyltransferase_c0	cpd11432_c0 + cpd15671_c0 --> cpd00010_c0 + cpd00067_c0 + cpd15677_c0	
rxn12846_c0	Gly_Phe_aminopeptidase_c0	cpd00001_c0 + cpd15605_c0 <=> cpd00033_c0 + cpd00066_c0	6666666.308629.peg.4145;6666666.308629.peg.703;6666666.308629.peg.3137;
rxn00337_c0	ATP_L_aspartate_4_phosphotransferase_c0	cpd00002_c0 + cpd00041_c0 <=> cpd00008_c0 + cpd01977_c0	6666666.308629.peg.3454;
rxn08308_c0	CDP_diacylglycerol_synthetase_n_C14_1_c0	cpd00052_c0 + cpd15523_c0 <=> cpd00012_c0 + cpd00067_c0 + cpd15422_c0	
rxn00208_c0	Pyridoxamine_5_phosphate_oxygen_oxidoreductase_deaminating_c0	cpd00001_c0 + cpd00007_c0 + cpd00493_c0 --> cpd00013_c0 + cpd00016_c0 + cpd00025_c0	
rxn05031_c0	prephytoene_diphosphate_geranylgeranyl_diphosphate_geranylgeranyltransferase_c0	cpd02168_c0 --> cpd00012_c0 + cpd00067_c0 + cpd03205_c0	
rxn05434_c0	6_methyl_trans_oct_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific_c0	cpd00004_c0 + cpd00067_c0 + cpd11502_c0 --> cpd00003_c0 + cpd11503_c0	6666666.308629.peg.3236;
rxn05346_c0	butyryl_acyl_carrier_protein_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating_c0	cpd11464_c0 + cpd11492_c0 --> cpd00011_c0 + cpd11486_c0 + cpd11493_c0	6666666.308629.peg.2772;6666666.308629.peg.2141;6666666.308629.peg.2137;6666666.308629.peg.1584;
rxn03248_c0	Hexanoyl_CoA_acetyl_CoA_C_acyltransferase_c0	cpd00022_c0 + cpd03124_c0 <=> cpd00010_c0 + cpd03121_c0	
rxn05516_c0	Cadmium_translocating_P_type_ATPase_c0	cpd00001_c0 + cpd00002_c0 + cpd01012_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd01012_e0	6666666.308629.peg.4219;6666666.308629.peg.1734;6666666.308629.peg.2403;6666666.308629.peg.183;6666666.308629.peg.329;
rxn05733_c0	O3_acetyl_L_serine_thiosulfate_2_amino_2_carboxyethyltransferase_reducing__L_cysteine_forming_c0	cpd00268_c0 + cpd00722_c0 + cpd11421_c0 --> cpd00029_c0 + cpd00067_c0 + cpd00081_c0 + cpd00084_c0 + cpd11420_c0	6666666.308629.peg.2538;
rxn00416_c0	L_aspartate_L_glutamine_amido_ligase_AMP_forming_c0	cpd00001_c0 + cpd00002_c0 + cpd00041_c0 + cpd00053_c0 --> cpd00012_c0 + cpd00018_c0 + cpd00023_c0 + 2.0 cpd00067_c0 + cpd00132_c0	
rxn09206_c0	Phosphatidylserine_syntase_n_C14_0_c0	cpd00054_c0 + cpd15423_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15553_c0	6666666.308629.peg.248;6666666.308629.peg.3530;
rxn02376_c0	R03316_c0	cpd00213_c0 + cpd03189_c0 <=> cpd00056_c0 + cpd00860_c0	
rxn09209_c0	Phosphatidylserine_syntase_n_C16_1_c0	cpd00054_c0 + cpd15418_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15556_c0	6666666.308629.peg.248;6666666.308629.peg.3530;
rxn12512_c0	R_4_Phosphopantothenate_L_cysteine_ligase_c0	cpd00002_c0 + cpd00084_c0 + cpd02201_c0 --> cpd00012_c0 + cpd00018_c0 + 2.0 cpd00067_c0 + cpd02666_c0	6666666.308629.peg.138;
rxn00902_c0	acetyl_CoA_3_methyl_2_oxobutanoate_C_acetyltransferase_thioester_hydrolysing__carboxymethyl_forming_c0	cpd00001_c0 + cpd00022_c0 + cpd00123_c0 --> cpd00010_c0 + cpd00067_c0 + cpd01646_c0	
rxn00658_c0	N_Acetyl_beta_alanine_amidohydrolase_c0	cpd00001_c0 + cpd00788_c0 <=> cpd00029_c0 + cpd00085_c0	
rxn06672_c0	biotin_carboxyl_carrier_protein_carbon_dioxide_ligase_ADP_forming_c0	cpd00002_c0 + cpd00242_c0 + cpd12848_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd12543_c0	6666666.308629.peg.2424;6666666.308629.peg.2425;
rxn02961_c0	CTP_ethanolamine_phosphate_cytidylyltransferase_c0	cpd00052_c0 + cpd02233_c0 <=> cpd00012_c0 + cpd00067_c0 + cpd03379_c0	6666666.308629.peg.1948;
rxn00649_c0	O3_acetyl_L_serine_hydrogen_sulfide_2_amino_2_carboxyethyltransferase_c0	cpd00239_c0 + cpd00722_c0 --> cpd00029_c0 + cpd00084_c0	6666666.308629.peg.2538;
rxn01268_c0	Prephenate_NAD_plus__oxidoreductasedecarboxylating_c0	cpd00003_c0 + cpd00219_c0 --> cpd00004_c0 + cpd00011_c0 + cpd00868_c0	
rxn07434_c0	R07603_c0	cpd00056_c0 + cpd00067_c0 + cpd00508_c0 --> cpd00011_c0 + cpd14702_c0	
rxn01974_c0	LL_2_6_Diaminoheptanedioate_2_epimerase_c0	cpd00504_c0 <=> cpd00516_c0	6666666.308629.peg.1295;
rxn12641_c0	RXN0_6977c_c0	cpd00001_c0 + cpd11585_c0 <=> cpd00033_c0 + cpd00035_c0	
rxn00068_c0	Fe2_plus__NAD_plus__oxidoreductase_c0	cpd00003_c0 + cpd00067_c0 + 2.0 cpd10515_c0 <=> cpd00004_c0 + 2.0 cpd10516_c0	
rxn00568_c0	NIRBD_RXNc_c0	3.0 cpd00004_c0 + 5.0 cpd00067_c0 + cpd00075_c0 --> 2.0 cpd00001_c0 + 3.0 cpd00003_c0 + cpd00013_c0	6666666.308629.peg.1338;6666666.308629.peg.2412;
rxn08971_c0	NADH_dehydrogenase_menaquinone_8__0_protons_c0	cpd00004_c0 + cpd00067_c0 + cpd15500_c0 --> cpd00003_c0 + cpd15499_c0	
rxn01635_c0	1_Pyrroline_4_hydroxy_2_carboxylate_aminohydrolase_decyclizing_c0	cpd00013_c0 + cpd00340_c0 --> cpd00001_c0 + cpd00067_c0 + cpd02626_c0	6666666.308629.peg.3084;
rxn03057_c0	5_Methylthio_5_deoxy_D_ribose_1_phosphate_ketol_isomerase_c0	cpd02574_c0 <=> cpd02791_c0	
rxn04384_c0	adenosylcobyric_acid_R_1_aminopropan_2_yl_phosphate_ligase_c0	cpd00002_c0 + cpd02547_c0 + cpd03917_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd03919_c0	6666666.308629.peg.1004;
rxn03887_c0	galactarate_hydro_lyase_5_dehydro_4_deoxy_D_glucarate_forming_c0	cpd00652_c0 --> cpd00001_c0 + cpd00515_c0	6666666.308629.peg.2457;
rxn00060_c0	porphobilinogen_4_2_carboxyethyl_3_carboxymethylpyrrol_2_ylmethyltransferase_hydrolysing_c0	cpd00001_c0 + 4.0 cpd00689_c0 --> 4.0 cpd00013_c0 + cpd00755_c0	
rxn00225_c0	ATP_acetate_phosphotransferase_c0	cpd00002_c0 + cpd00029_c0 --> cpd00008_c0 + cpd00196_c0	6666666.308629.peg.3008;
rxn05350_c0	hexanoyl_acyl_carrier_protein_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating_c0	cpd00067_c0 + cpd11472_c0 + cpd11492_c0 --> cpd00011_c0 + cpd11490_c0 + cpd11493_c0	6666666.308629.peg.2772;6666666.308629.peg.2141;6666666.308629.peg.1584;6666666.308629.peg.2137;
rxn09198_c0	Phosphatidylserine_decarboxylase_n_C14_0_c0	2.0 cpd00067_c0 + cpd15553_c0 <=> cpd00011_c0 + cpd15529_c0	6666666.308629.peg.1702;
rxn00148_c0	ATP_pyruvate_2_O_phosphotransferase_c0	cpd00002_c0 + cpd00020_c0 <=> cpd00008_c0 + cpd00061_c0 + cpd00067_c0	
rxn03906_c0	1_hydroxy_2_naphthoate_NADH_oxygen_oxidoreductase_2_hydroxylating__decarboxylating_c0	cpd00004_c0 + cpd00007_c0 + 2.0 cpd00067_c0 + cpd02045_c0 --> cpd00001_c0 + cpd00003_c0 + cpd00011_c0 + cpd01932_c0	
rxn05358_c0	2_methylbutanoyl_CoA_acyl_carrier_protein_transferase_c0	cpd00760_c0 + cpd11493_c0 <=> cpd00010_c0 + cpd00067_c0 + cpd11495_c0	6666666.308629.peg.1605;6666666.308629.peg.2140;6666666.308629.peg.1689;
rxn00100_c0	ATP_dephospho_CoA_3_phosphotransferase_c0	cpd00002_c0 + cpd00655_c0 --> cpd00008_c0 + cpd00010_c0 + cpd00067_c0	6666666.308629.peg.709;
rxn00789_c0	1_5_phospho_D_ribosyl_ATP_diphosphate_phospho_alpha_D_ribosyl_transferase_c0	cpd00002_c0 + cpd00103_c0 --> cpd00012_c0 + cpd00067_c0 + cpd01775_c0	6666666.308629.peg.3254;
rxn02374_c0	R03314_c0	cpd00858_c0 --> cpd00001_c0 + cpd00067_c0 + cpd02431_c0	
rxn03436_c0	S_2_Aceto_2_hydroxybutanoate_NADP_plus__oxidoreductase_isomerizing_c0	cpd00498_c0 <=> cpd10162_c0	
rxn05437_c0	12_methyl_trans_tetra_dec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific_c0	cpd00004_c0 + cpd00067_c0 + cpd11514_c0 --> cpd00003_c0 + cpd11515_c0	6666666.308629.peg.3236;
rxn08976_c0	quinone_reductase_c0	cpd00004_c0 + cpd00067_c0 + cpd15352_c0 --> cpd00003_c0 + cpd15353_c0	6666666.308629.peg.1351;6666666.308629.peg.403;
rxn05319_c0	TRANS_RXNBWI_115401cemaizeexpOH_c0	cpd00001_c0 --> cpd00001_e0	
rxn00881_c0	1D_myo_Inositol_1_phosphate_phosphohydrolase_c0	cpd00001_c0 + cpd00867_c0 --> cpd00009_c0 + cpd00121_c0	6666666.308629.peg.3808;6666666.308629.peg.2928;
