Metabolite id	metabolite name
cpd00311_c0	Guanosine_c0
cpd00013_c0	NH3_c0
cpd01217_c0	Xanthosine_c0
cpd00807_c0	L_histidinol_phosphate_c0
cpd00930_c0	imidazole_acetol_phosphate_c0
cpd03414_c0	UroporphyrinogenI_c0
cpd03416_c0	CoproporphyrinogenI_c0
cpd00118_c0	Putrescine_c0
cpd00264_c0	Spermidine_c0
cpd00229_c0	Glycolaldehyde_c0
cpd00954_c0	6_hydroxymethyl_dihydropterin_c0
cpd00202_c0	DMAPP_c0
cpd08615_c0	1_Hydroxy_2_methyl_2_butenyl_4_diphosphate_c0
cpd11540_c0	13_methyl_tetra_decanoyl_ACP_c0
cpd11541_c0	15_methyl_3_oxo_hexa_decanoyl_ACP_c0
cpd03246_c0	Taurochenodeoxycholate_c0
cpd00210_c0	Taurine_c0
cpd01663_c0	Chenodiol_c0
cpd00080_c0	Glycerol_3_phosphate_c0
cpd15686_c0	CDP_1_2_diisopentadecanoylglycerol_c0
cpd15719_c0	Diisopentadecanoylphosphatidylglycerophosphate_c0
cpd00982_c0	FADH2_c0
cpd00015_c0	FAD_c0
cpd11439_c0	fa4coa_c0
cpd08370_c0	Cobalt_precorrin_4_c0
cpd00019_c0	S_Adenosyl_homocysteine_c0
cpd08371_c0	Cobalt_precorrin_5_c0
cpd15331_c0	1_tetradecanoyl_sn_glycerol_3_phosphate_c0
cpd15522_c0	1_2_ditetradecanoyl_sn_glycerol_3_phosphate_c0
cpd15682_c0	1_2_diisohexadecanoyl_sn_glycerol_3_phosphate_c0
cpd00113_c0	Isopentenyldiphosphate_c0
cpd00350_c0	Farnesyldiphosphate_c0
cpd00289_c0	Geranylgeranyl_diphosphate_c0
cpd02498_c0	2_3_Dihydroxy_isovalerate_c0
cpd00123_c0	3_Methyl_2_oxobutanoate_c0
cpd11543_c0	15_methyl_trans_hexa_dec_2_enoyl_ACP_c0
cpd11544_c0	15_methyl_hexa_decanoyl_ACP_c0
cpd11432_c0	fa11coa_c0
cpd15671_c0	1_isoheptadecanoyl_sn_glycerol_3_phosphate_c0
cpd00171_c0	D_Ribulose5_phosphate_c0
cpd00047_c0	Formate_c0
cpd11225_c0	3_4_dihydroxy_2_butanone4_phosphate_c0
cpd11536_c0	11_methyl_dodecanoyl_ACP_c0
cpd11537_c0	13_methyl_3_oxo_tetra_decanoyl_ACP_c0
cpd00342_c0	N_Acetylornithine_c0
cpd00064_c0	Ornithine_c0
cpd00585_c0	Creatinine_c0
cpd01679_c0	N_Methylhydantoin_c0
cpd00095_c0	Glycerone_phosphate_c0
cpd00390_c0	CDP_glucose_c0
cpd00897_c0	CDP_4_dehydro_6_deoxy_D_glucose_c0
cpd02333_c0	Quinolinate_c0
cpd03470_c0	Iminoaspartate_c0
cpd15685_c0	CDP_1_2_diisotetradecanoylglycerol_c0
cpd15691_c0	Diisotetradecanoylphosphatidylserine_c0
cpd12232_c0	Nucleoside_phosphate_c0
cpd00354_c0	NDP_c0
cpd11585_e0	L_alanylglycine_e0
cpd11585_c0	L_alanylglycine_c0
cpd00162_c0	Aminoethanol_c0
cpd00071_c0	Acetaldehyde_c0
cpd00519_c0	D_methylmalonyl_CoA_c0
cpd00086_c0	Propionyl_CoA_c0
cpd00236_c0	D_Erythrose4_phosphate_c0
cpd11582_e0	ala_L_Thr_L_e0
cpd11582_c0	ala_L_Thr_L_c0
cpd00287_c0	3_Oxo_2_methylpropanoate_c0
cpd00012_e0	PPi_e0
cpd00810_c0	Orotidylic_acid_c0
cpd00091_c0	UMP_c0
cpd02654_c0	4_Methyl_5__2_phosphoethyl_thiazole_c0
cpd02894_c0	4_Amino_2_methyl_5_diphosphomethylpyrimidine_c0
cpd00793_c0	Thiamine_phosphate_c0
cpd15350_c0	2_dodecanoyl_sn_glycerol_3_phosphate_c0
cpd01741_c0	ddca_c0
cpd00345_c0	5_Methyltetrahydrofolate_c0
cpd00125_c0	5_10_Methylenetetrahydrofolate_c0
cpd11586_e0	ala_L_glu_L_e0
cpd11586_c0	ala_L_glu_L_c0
cpd00226_c0	HYXN_c0
cpd00309_c0	XAN_c0
cpd11573_c0	Octodecanoyl_ACP_c0
cpd00327_c0	strcoa_c0
cpd11437_c0	fa3coa_c0
cpd02210_c0	Indoleglycerol_phosphate_c0
cpd00102_c0	Glyceraldehyde3_phosphate_c0
cpd00359_c0	indol_c0
cpd15325_c0	1_dodecanoyl_sn_glycerol_3_phosphate_c0
cpd02864_c0	cis_2_Chlorodienelactone_c0
cpd02880_c0	trans_2_Chlorodienelactone_c0
cpd03002_c0	Lipid_A_disaccharide_c0
cpd02993_c0	Lipid_IVA_c0
cpd02730_c0	3_Deoxy_D_manno_octulosonate8_phosphate_c0
cpd00817_c0	D_Arabinose5_phosphate_c0
cpd12225_c0	Dihydrolipolprotein_c0
cpd12005_c0	Lipoylprotein_c0
cpd15677_c0	1_2_diisoheptadecanoyl_sn_glycerol_3_phosphate_c0
cpd15605_c0	Gly_Phe_c0
cpd00066_c0	L_Phenylalanine_c0
cpd01977_c0	4_Phospho_L_aspartate_c0
cpd00395_c0	L_Cysteate_c0
cpd15523_c0	1_2_ditetradec_7_enoyl_sn_glycerol_3_phosphate_c0
cpd15422_c0	CDP_1_2_ditetradec_7_enoylglycerol_c0
cpd00196_c0	Acetylphosphate_c0
cpd00493_c0	Pyridoxamine_phosphate_c0
cpd00016_c0	Pyridoxal_phosphate_c0
cpd15269_c0	octadecenoate_c0
cpd03205_c0	Phytoene_c0
cpd11502_c0	6_methyl_trans_oct_2_enoyl_ACP_c0
cpd11464_c0	Butyryl_ACP_c0
cpd11486_c0	3_Oxohexanoyl_acp_c0
cpd00135_c0	Homocysteine_c0
cpd03124_c0	Hexanoyl_CoA_c0
cpd03121_c0	3_Oxooctanoyl_CoA_c0
cpd01012_c0	Cd2_plus__c0
cpd01012_e0	Cd2_plus__e0
cpd00268_c0	H2S2O3_c0
cpd11421_c0	trdrd_c0
cpd00029_c0	Acetate_c0
cpd00081_c0	Sulfite_c0
cpd11420_c0	trdox_c0
cpd00053_c0	L_Glutamine_c0
cpd00132_c0	L_Asparagine_c0
cpd15423_c0	CDP_1_2_ditetradecanoylglycerol_c0
cpd15553_c0	phosphatidylserine_ditetradecanoyl_c0
cpd03189_c0	3_Carboxy_1_hydroxypropyl_ThPP_c0
cpd00860_c0	S_Succinyldihydrolipoamide_c0
cpd15418_c0	CDP_1_2_dihexadec_9_enoylglycerol_c0
cpd15556_c0	phosphatidylserine_dihexadec_9_enoyl_c0
cpd02090_c0	Glycerophosphoglycerol_c0
cpd00100_c0	Glycerol_c0
cpd01646_c0	2_Isopropylmalate_c0
cpd00788_c0	N_Acetyl_beta_alanine_c0
cpd00085_c0	beta_Alanine_c0
cpd00242_c0	H2CO3_c0
cpd12848_c0	Holo_carboxylase_c0
cpd12543_c0	Carboxybiotin_carboxyl_carrier_protein_c0
cpd02233_c0	Ciliatine_c0
cpd03379_c0	CMPciliatine_c0
cpd00239_c0	H2S_c0
cpd00873_c0	Nicotinate_ribonucleotide_c0
cpd03471_c0	Nicotinate_D_ribonucleoside_c0
cpd00219_c0	Prephenate_c0
cpd00868_c0	p_hydroxyphenylpyruvate_c0
cpd00044_c0	3_phosphoadenylylsulfate_c0
cpd00508_c0	3MOP_c0
cpd14702_c0	2_Methyl_1_hydroxybutyl_TPP_c0
cpd00504_c0	LL_2_6_Diaminopimelate_c0
cpd00516_c0	meso_2_6_Diaminopimelate_c0
cpd00035_c0	L_Alanine_c0
cpd10515_c0	Fe2_plus__c0
cpd10516_c0	fe3_c0
cpd00157_c0	Glycerone_c0
cpd15500_c0	Menaquinone_8_c0
cpd15499_c0	Menaquinol_8_c0
cpd02626_c0	1_Pyrroline_4_hydroxy_2_carboxylate_c0
cpd00340_c0	2_5_Dioxopentanoate_c0
cpd02574_c0	methylthioribose_1_phosphate_c0
cpd02791_c0	methylthioribulose_1_phosphate_c0
cpd02547_c0	R_1_Aminopropan_2_yl_phosphate_c0
cpd03917_c0	Adenosylcobyric_acid_c0
cpd03919_c0	Adenosyl_cobinamide_phosphate_c0
cpd00652_c0	D_Mucic_acid_c0
cpd00515_c0	5_Dehydro_4_deoxy_D_glucarate_c0
cpd01620_c0	Precorrin_2_c0
cpd00689_c0	Porphobilinogen_c0
cpd00755_c0	Hydroxymethylbilane_c0
cpd11472_c0	Hexanoyl_ACP_c0
cpd11490_c0	3_oxooctanoyl_acp_c0
cpd15529_c0	phosphatidylethanolamine_ditetradecanoyl_c0
cpd00223_c0	Glycerate_c0
cpd00169_c0	3_Phosphoglycerate_c0
cpd02045_c0	1_Hydroxy_2_naphthoate_c0
cpd01932_c0	1_2_Naphthalenediol_c0
cpd00760_c0	2_Methylbutyryl_CoA_c0
cpd11495_c0	2_methylbutyryl_ACP_c0
cpd00655_c0	Dephospho_CoA_c0
cpd01775_c0	Phosphoribosyl_ATP_c0
cpd00103_c0	PRPP_c0
cpd00858_c0	L_Glutamate5_semialdehyde_c0
cpd02431_c0	1_Pyrroline_5_carboxylate_c0
cpd00498_c0	2_Aceto_2_hydroxybutanoate_c0
cpd10162_c0	R_3_Hydroxy_3_methyl_2_oxopentanoate_c0
cpd11514_c0	12_methyl_trans_tetra_dec_2_enoyl_ACP_c0
cpd11515_c0	12_methyl_tetra_decanoyl_ACP_c0
cpd15352_c0	2_Demethylmenaquinone_8_c0
cpd15353_c0	2_Demethylmenaquinol_8_c0
cpd00203_c0	1_3_Bisphospho_D_glycerate_c0
cpd00001_e0	H2O_e0
cpd00867_c0	Inositol_1_phosphate_c0
cpd00121_c0	L_Inositol_c0
cpd00481_c0	Isobutyryl_CoA_c0
cpd11545_c0	isobutyryl_ACP_c0
cpd00282_c0	S_Dihydroorotate_c0
cpd00247_c0	Orotate_c0
cpd08301_c0	2_C_methyl_D_erythritol2_4_cyclodiphosphate_c0
cpd11538_c0	13_methyl_3_hydroxy_tetra_decanoyl_ACP_c0
cpd00774_c0	UroporphyrinogenIII_c0
cpd15557_c0	phosphatidylserine_dioctadecanoyl_c0
cpd15533_c0	phosphatidylethanolamine_dioctadecanoyl_c0
cpd01357_c0	R_Mandelate_c0
cpd01447_c0	Benzoylformate_c0
cpd00286_c0	Undecaprenylphosphate_c0
cpd02862_c0	UDPMurAcoyl_L_Ala_D_gamma_Glu_L_Lys_D_Ala_D_Ala_c0
cpd02948_c0	MurAcoyl_L_Ala_D_gamma_Glu_L_Lys_D_Ala_D_Ala_diphospho__undecaprenol_c0
cpd00063_c0	Ca2_plus__c0
cpd00063_e0	Ca2_plus__e0
cpd02857_c0	DAHP_c0
cpd00699_c0	5_Dehydroquinate_c0
cpd00089_c0	Glucose_1_phosphate_c0
cpd00387_c0	ADPglucose_c0
cpd00192_c0	4_Coumaroyl_CoA_c0
cpd05630_c0	Pelargonin_c0
cpd15065_c0	Pelargonidin_3_O_beta_D_glucoside_5_O_6_coumaroyl_beta_D_glucoside_c0
cpd04539_c0	2_Amino_3_oxo_4_phosphonooxybutyrate_c0
cpd11468_c0	Dodecanoyl_ACP_c0
cpd11469_c0	2E_Dodecenoyl_acp_c0
cpd00058_e0	Cu2_plus__e0
cpd00058_c0	Cu2_plus__c0
cpd03915_c0	CobIyrinate_diamide_c0
cpd00421_c0	Triphosphate_c0
cpd03916_c0	Adenosyl_cobyrinate_diamide_c0
cpd01489_c0	beta_Alanopine_c0
cpd00087_c0	Tetrahydrofolate_c0
cpd00802_c0	D_fructose_1_phosphate_c0
cpd02152_c0	L_Argininosuccinate_c0
cpd00051_c0	L_Arginine_c0
cpd00641_c0	L_Histidinol_c0
cpd15328_c0	1_octadec_11_enoyl_sn_glycerol_3_phosphate_c0
cpd00426_c0	Homogentisate_c0
cpd00763_c0	4_Maleylacetoacetate_c0
cpd15687_c0	CDP_1_2_dianteisopentadecanoylglycerol_c0
cpd15693_c0	Dianteisopentadecanoylphosphatidylserine_c0
cpd11549_c0	4_methyl_pentanoyl_ACP_c0
cpd11550_c0	6_methyl_3_oxo_heptanoyl_ACP_c0
cpd00126_c0	GMP_c0
cpd00626_c0	dTDPglucose_c0
cpd12547_c0	L_2_Lysophosphatidylethanolamine_c0
cpd12140_c0	Protein_glutamine_c0
cpd11711_c0	Protein_glutamate_c0
cpd08286_c0	2_C_methyl_D_erythritol4_phosphate_c0
cpd02978_c0	7_8_Dihydroneopterin_3_triphosphate_c0
cpd03666_c0	2_5_Diamino_6_5_triphosphoryl_3_4_trihydroxy_2_oxopentyl__amino_4_oxopyrimidine_c0
cpd00107_e0	L_Leucine_e0
cpd00107_c0	L_Leucine_c0
cpd03607_c0	4_Phosphonooxy_threonine_c0
cpd02893_c0	5_Phosphoribosyl_4_carboxy_5_aminoimidazole_c0
cpd02140_c0	AIR_c0
cpd01061_c0	Geranial_c0
cpd15165_c0	Geranic_acid_c0
cpd00147_c0	5_Methylthioadenosine_c0
cpd00128_c0	Adenine_c0
cpd11554_c0	8_methyl_3_oxo_nonanoyl_ACP_c0
cpd11555_c0	8_methyl_3_hydroxy_nonanoyl_ACP_c0
cpd00078_c0	Succinyl_CoA_c0
cpd00357_c0	TTP_c0
cpd00297_c0	dTDP_c0
cpd02691_c0	2_methyl_3_hydroxy_butyryl_CoA_c0
cpd02124_c0	2_Methylacetoacetyl_CoA_c0
cpd00745_c0	Hydracrylic_acid_c0
cpd03375_c0	3_Hydroxypropanoyl_CoA_c0
cpd00216_c0	Chorismate_c0
cpd00274_c0	Citrulline_c0
cpd11588_c0	gly_pro_L_c0
cpd00129_c0	L_Proline_c0
cpd02125_c0	Tiglyl_CoA_c0
cpd11341_c0	gamma_glutamyl_gamma_butyraldehyde_c0
cpd11408_c0	gamma_Glutamyl_GABA_c0
cpd00296_c0	dGMP_c0
cpd00277_c0	Deoxyguanosine_c0
cpd11438_c0	fa4_c0
cpd01017_e0	Cys_Gly_e0
cpd01017_c0	Cys_Gly_c0
cpd15339_c0	2_Acyl_sn_glycero_3_phosphoethanolamine_n_C16_0_c0
cpd00214_c0	Palmitate_c0
cpd11570_c0	3_Oxooctodecanoyl_ACP_c0
cpd11571_c0	3_Hydroxyoctodecanoyl_ACP_c0
cpd01306_c0	Cycloartenol_c0
cpd05727_c0	24_Methylenecycloartanol_c0
cpd00134_c0	Palmitoyl_CoA_c0
cpd00365_c0	Retinol_c0
cpd01691_c0	Retinol_palmitate_c0
cpd01324_c0	L_Histidinal_c0
cpd15521_c0	1_2_didodecanoyl_sn_glycerol_3_phosphate_c0
cpd15679_c0	1_2_diisotetradecanoyl_sn_glycerol_3_phosphate_c0
cpd00040_c0	Glyoxalate_c0
cpd15720_c0	Dianteisopentadecanoylphosphatidylglycerophosphate_c0
cpd00013_e0	NH3_e0
cpd00497_c0	XMP_c0
cpd00770_c0	N_Formyl_L_glutamate_c0
cpd00957_c0	2_5_Diamino_6_5_phosphoribosylamino_4_pyrimidineone_c0
cpd00449_c0	Dihydrolipoamide_c0
cpd00863_c0	beta_D_Glucose_6_phosphate_c0
cpd00159_c0	L_Lactate_c0
cpd00143_c0	Phenylpyruvate_c0
cpd03480_c0	2_Hydroxyphenylacetate_c0
cpd11553_c0	6_methyl_heptanoyl_ACP_c0
cpd15327_c0	1_hexadecanoyl_sn_glycerol_3_phosphate_c0
cpd01237_c0	Choloyl_CoA_c0
cpd00526_c0	Cholate_c0
cpd11578_e0	hexanesulfonate_e0
cpd11578_c0	hexanesulfonate_c0
cpd00186_c0	D_Glutamate_c0
cpd00822_c0	O_Succinyl_L_homoserine_c0
cpd03518_c0	Formamidopyrimidine_nucleoside_triphosphate_c0
cpd03519_c0	2_5_Diaminopyrimidine_nucleoside_triphosphate_c0
cpd15329_c0	1_octadecanoyl_sn_glycerol_3_phosphate_c0
cpd00507_c0	Glycerophosphocholine_c0
cpd00098_c0	Choline_c0
cpd15419_c0	CDP_1_2_dihexadecanoylglycerol_c0
cpd15545_c0	Phosphatidylglycerophosphate_dihexadecanoyl_c0
cpd00790_c0	O_Acetyl_L_homoserine_c0
cpd03963_c0	Biuret_c0
cpd00073_c0	Urea_c0
cpd11474_c0	Decanoyl_ACP_c0
cpd11489_c0	3_oxododecanoyl_acp_c0
cpd11506_c0	8_methyl_trans_dec_2_enoyl_ACP_c0
cpd11507_c0	8_methyl_decanoyl_ACP_c0
cpd00105_c0	D_Ribose_c0
cpd00258_c0	D_Ribulose_c0
cpd03449_c0	2_Octaprenyl_3_methyl_5_hydroxy_6_methoxy_1_4_benzoquinone_c0
cpd02068_c0	3_Methylglutaconyl_CoA_c0
cpd00347_c0	5_10_Methenyltetrahydrofolate_c0
cpd11476_c0	hexadecanoyl_acp_c0
cpd15526_c0	1_2_dioctadecanoyl_sn_glycerol_3_phosphate_c0
cpd00843_c0	Tartronate_semialdehyde_c0
cpd00270_c0	Caffeoyl_CoA_c0
cpd05546_c0	Cyanin_c0
cpd15088_c0	Cyanidin_3_glucoside_5_caffeoylglucoside_c0
cpd11568_c0	14_methyl_trans_pentadec_2_enoyl_ACP_c0
cpd11569_c0	14_methyl_pentadecanoyl_ACP_c0
cpd15606_c0	Gly_Tyr_c0
cpd00069_c0	L_Tyrosine_c0
cpd11546_c0	4_methyl_3_oxo_pentanoyl_ACP_c0
cpd11547_c0	4_methyl_3_hydroxy_pentanoyl_ACP_c0
cpd11539_c0	13_methyl_trans_tetra_dec_2_enoyl_ACP_c0
cpd15420_c0	CDP_1_2_dioctadec_11_enoylglycerol_c0
cpd15548_c0	Phosphatidylglycerophosphate_dioctadec_11_enoyl_c0
cpd11591_e0	Gly_Met_e0
cpd11591_c0	Gly_Met_c0
cpd01080_c0	ocdca_c0
cpd00232_c0	Neu5Ac_c0
cpd01743_c0	Cerebroside_c0
cpd03653_c0	GM4_c0
cpd11491_c0	3_oxotetradecanoyl_acp_c0
cpd01318_c0	Glycocholate_c0
cpd11558_c0	10_methyl_3_oxo_undecanoyl_ACP_c0
cpd11559_c0	10_methyl_3_hydroxy_undecanoyl_ACP_c0
cpd00343_c0	N_Carbamoyl_L_aspartate_c0
cpd00939_c0	Toxopyrimidine_c0
cpd00009_e0	Phosphate_e0
cpd00227_c0	L_Homoserine_c0
cpd00346_c0	L_Aspartate4_semialdehyde_c0
cpd09027_c0	5_Hydroxy_2_oxo_4_ureido_2_5_dihydro_1H_imidazole_5_carboxylate_c0
cpd01567_c0	R_Allantoin_c0
cpd00130_c0	L_Malate_c0
cpd00175_c0	UDP_N_acetyl_D_galactosamine_c0
cpd15342_c0	2_Acyl_sn_glycero_3_phosphoethanolamine_octadec_11_enoyl_c0
cpd11521_c0	5_methyl_3_oxo_hexanoyl_ACP_c0
cpd11522_c0	5_methyl_3_hydroxy_hexanoyl_ACP_c0
cpd00367_c0	Cytidine_c0
cpd11912_c0	tRNA_Glu_c0
cpd12227_c0	L_Glutamyl_tRNA_Glu_c0
cpd00918_c0	2_Acetamido_5_oxopentanoate_c0
cpd03244_c0	Taurodeoxycholate_c0
cpd02733_c0	Deoxycholate_c0
cpd00249_c0	Uridine_c0
cpd14698_c0	3_Methyl_1_hydroxybutyl_TPP_c0
cpd14699_c0	S_3_Methylbutanoyl_dihydrolipoamide_E_c0
cpd04058_c0	L_N2_2_Carboxyethylarginine_c0
cpd00220_c0	Riboflavin_c0
cpd00050_c0	FMN_c0
cpd00349_c0	Sedoheptulose_1_7_bisphosphate_c0
cpd03487_c0	Undecaprenyl_diphospho_N_acetylmuramoyl_N_acetylglucosamine_L_alanyl_D_glutamyl_L_lysyl_D_alanyl_D_alanine_c0
cpd03488_c0	Undecaprenyl_diphospho_N_acetylmuramoyl_N_acetylglucosamine_L_alanyl_D_glutaminyl_L_lysyl_D_alanyl_D_alanine_c0
cpd00338_c0	5_Aminolevulinate_c0
cpd00079_c0	D_glucose_6_phosphate_c0
cpd15028_c0	Delphin_c0
cpd15029_c0	Delphinidin_3_glucoside_5_caffoyl_glucoside_c0
cpd11580_c0	Gly_Gln_c0
cpd12689_c0	3_Oxotetradecanoyl_CoA_c0
cpd11560_c0	10_methyl_trans_undec_2_enoyl_ACP_c0
cpd11561_c0	10_methyl_undecanoyl_ACP_c0
cpd11552_c0	6_methyl_trans_hept_2_enoyl_ACP_c0
cpd00834_c0	Phosphopantetheine_c0
cpd00190_c0	beta_D_Glucose_c0
cpd01777_c0	Phosphoribosyl_AMP_c0
cpd02979_c0	phosphoribosylformiminoaicar_phosphate_c0
cpd03588_c0	L_erythro_3_Methylmalyl_CoA_c0
cpd08928_c0	L_Threonine_phosphate_c0
cpd00139_c0	Glycolate_c0
cpd03847_c0	Myristic_acid_c0
cpd03233_c0	3alpha_7alpha_12alpha_24_Tetrahydroxy_5beta_cholestanoyl_CoA_c0
cpd03248_c0	3alpha_7alpha_12alpha_Trihydroxy_5beta_24_oxocholestanoyl_CoA_c0
cpd03918_c0	Adenosyl_cobinamide_c0
cpd00322_c0	L_Isoleucine_c0
cpd00034_e0	Zn2_plus__e0
cpd00034_c0	Zn2_plus__c0
cpd00525_c0	UDP_N_acetylmuramoyl_L_alanyl_D_glutamate_c0
cpd02861_c0	UDP_N_acetylmuramoyl_L_alanyl_D_glutamyl_L_lysine_c0
cpd00231_c0	Dihydrobiopterin_c0
cpd03126_c0	2E_Hexadecenoyl_CoA_c0
cpd00115_c0	dATP_c0
cpd00177_c0	dADP_c0
cpd11496_c0	4_methyl_3_oxo_hexanoyl_ACP_c0
cpd00301_c0	Sterol_c0
cpd11624_c0	Lecithin_c0
cpd02601_c0	2_Lysolecithin_c0
cpd11979_c0	Steryl_ester_c0
cpd00288_c0	D_Glucosamine_phosphate_c0
cpd03227_c0	5beta_Cholestane_3alpha_7alpha_26_triol_c0
cpd03228_c0	3alpha_7alpha_Dihydroxy_5beta_cholestan_26_al_c0
cpd02535_c0	2_3_Dihydroxy_3_methylvalerate_c0
cpd02882_c0	4__1_D_Ribitylamino_5_aminouracil_c0
